<<<<<<< HEAD
tile6 28 8
speed 30 9
5 31 6
tile6 11 42
tile6 11 42
ground 16 2
ground 16 3
ground 16 5
ground 16 4
ground 17 4
delet 18 5
delet 18 4
delet 17 3
delet 17 2
ground 17 5
delet 11 1
delet 11 -1
delet 11 -3
delet 10 -5
delet 9 -7
delet 17 -9
delet 16 -10
5 11 -5
5 13 -7
tile6 18 -7
tile6 18 -6
tile6 17 -5
tile6 16 -4
tile6 16 -3
tile6 16 -2
tile6 16 -1
tile6 16 0
tile6 16 1
verylongtilenametotestbuttons 3 5
verylongtilenametotestbuttons 3 1
verylongtilenametotestbuttons 0 -1
verylongtilenametotestbuttons 3 -4
verylongtilenametotestbuttons 0 -7
verylongtilenametotestbuttons 3 -10
verylongtilenametotestbuttons 0 -12
verylongtilenametotestbuttons 4 -13
verylongtilenametotestbuttons 5 -13
verylongtilenametotestbuttons 6 -13
verylongtilenametotestbuttons 7 -13
delet 18 -8
delet 17 -10
delet 16 -11
tile6 11 14
delet 13 14
ground 15 14
verylongtilenametotestbuttons 16 14
5 18 14
ground 21 12
speed 17 12
speed -8 12
verylongtilenametotestbuttons -15 14
verylongtilenametotestbuttons -14 14
verylongtilenametotestbuttons -13 14
verylongtilenametotestbuttons -12 14
verylongtilenametotestbuttons -17 14
verylongtilenametotestbuttons -18 14
verylongtilenametotestbuttons -19 14
verylongtilenametotestbuttons -20 14
verylongtilenametotestbuttons -21 14
verylongtilenametotestbuttons -11 14
verylongtilenametotestbuttons -10 14
verylongtilenametotestbuttons -9 14
verylongtilenametotestbuttons -7 14
verylongtilenametotestbuttons -6 14
verylongtilenametotestbuttons -4 14
verylongtilenametotestbuttons -3 14
verylongtilenametotestbuttons -5 14
verylongtilenametotestbuttons -2 14
verylongtilenametotestbuttons -1 14
verylongtilenametotestbuttons 0 14
verylongtilenametotestbuttons 1 14
activeTest -21 13
speed -8 14
tile6 14 10
ground 15 10
floor -17 10
speed 6 19
tile6 -11 28
tile6 -9 28
tile6 -10 28
tile6 -10 28
tile6 -9 28
tile6 -8 28
tile6 -7 28
tile6 -6 28
tile6 -4 28
tile6 -5 28
tile6 -3 28
speed -2 28
verylongtilenametotestbuttons 7 28
verylongtilenametotestbuttons 7 27
verylongtilenametotestbuttons 7 26
verylongtilenametotestbuttons -12 28
verylongtilenametotestbuttons -12 27
verylongtilenametotestbuttons -12 26
speed -2 24
speed 2 22
speed 6 19
tile6 -11 28
tile6 -9 28
tile6 -10 28
tile6 -10 28
tile6 -9 28
tile6 -8 28
tile6 -7 28
tile6 -6 28
tile6 -4 28
tile6 -5 28
tile6 -3 28
speed -2 28
verylongtilenametotestbuttons 7 28
verylongtilenametotestbuttons 7 27
verylongtilenametotestbuttons 7 26
verylongtilenametotestbuttons -12 28
verylongtilenametotestbuttons -12 27
verylongtilenametotestbuttons -12 26
speed -2 24
speed 2 22
activeTest -11 27
activeTest 6 27
verylongtilenametotestbuttons -15 16
verylongtilenametotestbuttons -14 16
ground 6 5
ground 5 5
ground 3 5
ground 9 5
ground 10 5
ground 13 5
ground 12 5
ground 14 5
ground 15 5
ground 16 5
ground 11 5
start 17 5
ground 5 5
ground 4 5
ground 18 5
ground 17 6
ground 18 6
ground 18 4
ground 19 3
ground 18 3
ground 7 5
ground 8 5
pushes 2 2
kill 13 -6
